# f	Df	Vin	DVin-5V	Vout	VoutSca	DVout	Tsfas	T (ms)
30.745	0.003	19.80	0.20	0.80	0.768	0.008	8.32	33.28
50.410	0.004	19.80	0.20	1.40	1.248	0.008	4.88	20.00
97.580	0.010	19.80	0.20	2.40	2.300	0.008	2.56	10.64
171.56	0.002	19.80	0.20	4.20	4.08	0.04	1.34	5.80
303.50	0.01	19.80	0.20	6.80	6.64	0.04	1.020	3.320
548.70	0.01	19.20	0.20	10.60	10.48	0.08	0.272	1.820
953.40	0.03	18.40	0.20	13.60	13.68	0.08	0.112	1.056
1742.1	0.1	18.00	0.20	15.80	15.76	0.08	0.0488	0.576
3084.5	0.3	17.40	0.20	16.80	16.80	0.20	0.0164	0.330
5449.2	0.5	17.40	0.20	17.00	17.00	0.20	0.0064	0.186
9451.1	0.8	17.40	0.20	17.20	17.20	0.20	0.0028	0.1064
17715	1	17.40	0.20	17.40	17.40	0.20	0.0016	0.0568
30555	2	17.40	0.20	17.40	17.40	0.20	0.00056	0.0332	







